,transformed
count,802.0
mean,0.0019101158216737457
std,0.009896737463680885
varcof,5.181223751661736
min,-0.1414224790154561
25%,-0.001952331374836725
50%,0.00230692753337175
75%,0.006416725799718275
max,0.0634724915918267
variance,9.794541242502475e-05
skewness,-3.7169529876074794
kurtosis,59.18656063988031
