,raw
count,803.0
mean,68.12147621419676
std,26.836031184886565
varcof,0.393943770397827
min,21.9998
25%,45.200050000000005
50%,63.1363
75%,96.4514
max,104.1004
variance,720.1725697562042
skewness,-0.10960486268938852
kurtosis,-1.468669103847302
