origin_date,forecast_date,feature,feature_value,shap_value,prediction,base_value
1976-06-01,1976-07-01,lag_0,0.0010263728636865,-0.000167657660905527,0.0013795756194675756,[0.00105037]
1976-06-01,1976-07-01,lag_1,0.0042418145250855,0.00010615779717139893,0.0013795756194675756,[0.00105037]
1976-06-01,1976-07-01,lag_2,0.0049490355971983,0.00024283695472266962,0.0013795756194675756,[0.00105037]
1976-06-01,1976-07-01,lag_3,0.002160118714749,1.4138817149436496e-05,0.0013795756194675756,[0.00105037]
1976-06-01,1976-07-01,lag_4,0.0097589294368396,0.0,0.0013795756194675756,[0.00105037]
1976-06-01,1976-07-01,lag_5,0.0131037213318072,0.0,0.0013795756194675756,[0.00105037]
1976-06-01,1976-07-01,lag_6,0.0135618859783548,0.0,0.0013795756194675756,[0.00105037]
1976-06-01,1976-07-01,lag_7,0.00134316107532,-0.0,0.0013795756194675756,[0.00105037]
1976-06-01,1976-07-01,lag_8,0.0043885842792676,1.058060034361194e-05,0.0013795756194675756,[0.00105037]
1976-06-01,1976-07-01,lag_9,0.0128274143058635,0.0,0.0013795756194675756,[0.00105037]
1976-06-01,1976-07-01,lag_10,0.0097899049851579,0.0,0.0013795756194675756,[0.00105037]
1976-06-01,1976-07-01,lag_11,0.0104277982971066,-5.040421223622058e-05,0.0013795756194675756,[0.00105037]
1976-06-01,1976-07-01,volatility_3m,0.0020907139786678543,0.0001735492536554779,0.0013795756194675756,[0.00105037]
1976-07-01,1976-08-01,lag_0,0.0056794493189409,0.001210129613383027,0.002730196344513541,[0.00107715]
1976-07-01,1976-08-01,lag_1,0.0010263728636865,-3.117994763197762e-05,0.002730196344513541,[0.00107715]
1976-07-01,1976-08-01,lag_2,0.0042418145250855,0.0001828010807477323,0.002730196344513541,[0.00107715]
1976-07-01,1976-08-01,lag_3,0.0049490355971983,0.00011356981340019531,0.002730196344513541,[0.00107715]
1976-07-01,1976-08-01,lag_4,0.002160118714749,0.0,0.002730196344513541,[0.00107715]
1976-07-01,1976-08-01,lag_5,0.0097589294368396,0.0,0.002730196344513541,[0.00107715]
1976-07-01,1976-08-01,lag_6,0.0131037213318072,0.0,0.002730196344513541,[0.00107715]
1976-07-01,1976-08-01,lag_7,0.0135618859783548,0.0,0.002730196344513541,[0.00107715]
1976-07-01,1976-08-01,lag_8,0.00134316107532,-6.309747819788114e-07,0.002730196344513541,[0.00107715]
1976-07-01,1976-08-01,lag_9,0.0043885842792676,0.0,0.002730196344513541,[0.00107715]
1976-07-01,1976-08-01,lag_10,0.0128274143058635,0.0,0.002730196344513541,[0.00107715]
1976-07-01,1976-08-01,lag_11,0.0097899049851579,0.0,0.002730196344513541,[0.00107715]
1976-07-01,1976-08-01,volatility_3m,0.002382469985008796,0.0001783614679483988,0.002730196344513541,[0.00107715]
1976-08-01,1976-09-01,lag_0,0.006854351585718,0.0015451616198106331,0.003219133147166496,[0.00110106]
1976-08-01,1976-09-01,lag_1,0.0056794493189409,0.00020168478635613265,0.003219133147166496,[0.00110106]
1976-08-01,1976-09-01,lag_2,0.0010263728636865,-4.4071144623538804e-05,0.003219133147166496,[0.00110106]
1976-08-01,1976-09-01,lag_3,0.0042418145250855,7.784557831220411e-05,0.003219133147166496,[0.00110106]
1976-08-01,1976-09-01,lag_4,0.0049490355971983,0.0,0.003219133147166496,[0.00110106]
1976-08-01,1976-09-01,lag_5,0.002160118714749,0.0,0.003219133147166496,[0.00110106]
1976-08-01,1976-09-01,lag_6,0.0097589294368396,0.0,0.003219133147166496,[0.00110106]
1976-08-01,1976-09-01,lag_7,0.0131037213318072,0.0,0.003219133147166496,[0.00110106]
1976-08-01,1976-09-01,lag_8,0.0135618859783548,0.00014494111135453648,0.003219133147166496,[0.00110106]
1976-08-01,1976-09-01,lag_9,0.00134316107532,-0.0,0.003219133147166496,[0.00110106]
1976-08-01,1976-09-01,lag_10,0.0043885842792676,0.0,0.003219133147166496,[0.00110106]
1976-08-01,1976-09-01,lag_11,0.0128274143058635,0.0,0.003219133147166496,[0.00110106]
1976-08-01,1976-09-01,volatility_3m,0.0030821218832532875,0.00019251345824167427,0.003219133147166496,[0.00110106]
1976-09-01,1976-10-01,lag_0,0.0034510513529513,0.0005379224234456243,0.00257021450796933,[0.00116239]
1976-09-01,1976-10-01,lag_1,0.006854351585718,0.00018726933658000844,0.00257021450796933,[0.00116239]
1976-09-01,1976-10-01,lag_2,0.0056794493189409,0.0002478338018507109,0.00257021450796933,[0.00116239]
1976-09-01,1976-10-01,lag_3,0.0010263728636865,-2.472919010026361e-05,0.00257021450796933,[0.00116239]
1976-09-01,1976-10-01,lag_4,0.0042418145250855,0.0,0.00257021450796933,[0.00116239]
1976-09-01,1976-10-01,lag_5,0.0049490355971983,0.0,0.00257021450796933,[0.00116239]
1976-09-01,1976-10-01,lag_6,0.002160118714749,0.0,0.00257021450796933,[0.00116239]
1976-09-01,1976-10-01,lag_7,0.0097589294368396,0.0,0.00257021450796933,[0.00116239]
1976-09-01,1976-10-01,lag_8,0.0131037213318072,0.0001586060549784916,0.00257021450796933,[0.00116239]
1976-09-01,1976-10-01,lag_9,0.0135618859783548,0.0,0.00257021450796933,[0.00116239]
1976-09-01,1976-10-01,lag_10,0.00134316107532,-0.0,0.00257021450796933,[0.00116239]
1976-09-01,1976-10-01,lag_11,0.0043885842792676,0.0,0.00257021450796933,[0.00116239]
1976-09-01,1976-10-01,volatility_3m,0.0017286124158630062,0.0003009227038352352,0.00257021450796933,[0.00116239]
1976-10-01,1976-11-01,lag_0,-0.0003044869306836,-0.0006077891441782769,0.0012997870058024314,[0.00117251]
1976-10-01,1976-11-01,lag_1,0.0034510513529513,6.521999178851843e-05,0.0012997870058024314,[0.00117251]
1976-10-01,1976-11-01,lag_2,0.006854351585718,0.00037661101190330967,0.0012997870058024314,[0.00117251]
1976-10-01,1976-11-01,lag_3,0.0056794493189409,0.00013747652875975894,0.0012997870058024314,[0.00117251]
1976-10-01,1976-11-01,lag_4,0.0010263728636865,-0.0,0.0012997870058024314,[0.00117251]
1976-10-01,1976-11-01,lag_5,0.0042418145250855,0.0,0.0012997870058024314,[0.00117251]
1976-10-01,1976-11-01,lag_6,0.0049490355971983,0.0,0.0012997870058024314,[0.00117251]
1976-10-01,1976-11-01,lag_7,0.002160118714749,0.0,0.0012997870058024314,[0.00117251]
1976-10-01,1976-11-01,lag_8,0.0097589294368396,3.941162481215888e-05,0.0012997870058024314,[0.00117251]
1976-10-01,1976-11-01,lag_9,0.0131037213318072,0.0,0.0012997870058024314,[0.00117251]
1976-10-01,1976-11-01,lag_10,0.0135618859783548,0.0,0.0012997870058024314,[0.00117251]
1976-10-01,1976-11-01,lag_11,0.00134316107532,-0.0,0.0012997870058024314,[0.00117251]
1976-10-01,1976-11-01,volatility_3m,0.0035808632380594186,0.00011634987957789093,0.0012997870058024314,[0.00117251]
1976-11-01,1976-12-01,lag_0,0.0151273417142681,0.003941853676438699,0.005238519270616498,[0.00125796]
1976-11-01,1976-12-01,lag_1,-0.0003044869306836,-0.00010065570116935298,0.005238519270616498,[0.00125796]
1976-11-01,1976-12-01,lag_2,0.0034510513529513,0.00011444017053116956,0.005238519270616498,[0.00125796]
1976-11-01,1976-12-01,lag_3,0.006854351585718,0.00018439152568573857,0.005238519270616498,[0.00125796]
1976-11-01,1976-12-01,lag_4,0.0056794493189409,0.0,0.005238519270616498,[0.00125796]
1976-11-01,1976-12-01,lag_5,0.0010263728636865,-0.0,0.005238519270616498,[0.00125796]
1976-11-01,1976-12-01,lag_6,0.0042418145250855,0.0,0.005238519270616498,[0.00125796]
1976-11-01,1976-12-01,lag_7,0.0049490355971983,0.0,0.005238519270616498,[0.00125796]
1976-11-01,1976-12-01,lag_8,0.002160118714749,6.031503089518587e-06,0.005238519270616498,[0.00125796]
1976-11-01,1976-12-01,lag_9,0.0097589294368396,0.0,0.005238519270616498,[0.00125796]
1976-11-01,1976-12-01,lag_10,0.0131037213318072,0.0,0.005238519270616498,[0.00125796]
1976-11-01,1976-12-01,lag_11,0.0135618859783548,0.0,0.005238519270616498,[0.00125796]
1976-11-01,1976-12-01,volatility_3m,0.008047578929185046,-0.00016550173498986368,0.005238519270616498,[0.00125796]
1976-12-01,1977-01-01,lag_0,0.0107538061144394,0.0027339093640594194,0.004458233124909977,[0.00134815]
1976-12-01,1977-01-01,lag_1,0.0151273417142681,0.0005102848633734103,0.004458233124909977,[0.00134815]
1976-12-01,1977-01-01,lag_2,-0.0003044869306836,-0.00016845253766066326,0.004458233124909977,[0.00134815]
1976-12-01,1977-01-01,lag_3,0.0034510513529513,6.31214508021671e-05,0.004458233124909977,[0.00134815]
1976-12-01,1977-01-01,lag_4,0.006854351585718,0.0,0.004458233124909977,[0.00134815]
1976-12-01,1977-01-01,lag_5,0.0056794493189409,0.0,0.004458233124909977,[0.00134815]
1976-12-01,1977-01-01,lag_6,0.0010263728636865,-0.0,0.004458233124909977,[0.00134815]
