sasdate,INDPRO
Transform:,5.0
2/1/1959,0.019392735654984783
3/1/1959,0.014306066352652635
4/1/1959,0.02107391838228523
5/1/1959,0.014953222334699756
6/1/1959,0.0011439709746845494
7/1/1959,-0.02423750666455149
8/1/1959,-0.03446570210182287
9/1/1959,-0.0012131779557305045
10/1/1959,-0.007287494432370423
11/1/1959,0.0060773443205626165
12/1/1959,0.05998256585922812
1/1/1960,0.02591559014768796
2/1/1960,-0.008937781748409979
3/1/1960,-0.009018386661537203
4/1/1960,-0.00795942173774078
5/1/1960,-0.0011410369402642395
6/1/1960,-0.012650989834767756
7/1/1960,-0.0034790131968609472
8/1/1960,-0.0011609265410310599
9/1/1960,-0.010522528882984883
10/1/1960,-0.0011745777346665598
11/1/1960,-0.014216903885591492
12/1/1960,-0.019280368692229377
1/1/1961,0.0012145649942021386
2/1/1961,-0.0012145649942021386
3/1/1961,0.0060671079167065045
4/1/1961,0.02034477750671826
5/1/1961,0.015287272346611314
6/1/1961,0.01390390516949136
7/1/1961,0.011442827425403035
8/1/1961,0.009059236789770608
9/1/1961,-0.0011268786865619163
10/1/1961,0.019006911784879232
11/1/1961,0.015385483927494281
12/1/1961,0.008685433405564602
1/1/1962,-0.008689483210060356
2/1/1962,0.016224855756237666
3/1/1962,0.005352951036389442
4/1/1962,0.0021339739391739165
5/1/1962,-0.0010683973079679276
6/1/1962,-0.0021322899272799845
7/1/1962,0.009567561684507453
8/1/1962,0.0010565614819522118
9/1/1962,0.006323834772505865
10/1/1962,0.0010487964171623787
11/1/1962,0.004188100966262542
12/1/1962,0.0
1/1/1963,0.007288197015974607
2/1/1963,0.01134989440368539
3/1/1963,0.006132507547363719
4/1/1963,0.009130694005863305
5/1/1963,0.012050944130482577
6/1/1963,0.002990180528459785
7/1/1963,-0.0039876609535713925
8/1/1963,0.0019939668744135552
9/1/1963,0.009921626393748717
10/1/1963,0.006886664401022813
11/1/1963,0.00488861775379501
12/1/1963,-0.0019511281385811152
1/1/1964,0.008757449424730002
2/1/1964,0.0067603082795728575
3/1/1964,0.0
4/1/1964,0.016230600281543772
5/1/1964,0.00566345265144319
6/1/1964,0.002821487062464989
7/1/1964,0.006551520459585181
8/1/1964,0.00650887726547511
9/1/1964,0.003699935340987448
10/1/1964,-0.013946784399994971
11/1/1964,0.030430832961023224
12/1/1964,0.011739691703335886
1/1/1965,0.010713375687373627
2/1/1965,0.006197691026472274
3/1/1965,0.013151893286654115
4/1/1965,0.0043447313512055
5/1/1965,0.007777096878272438
6/1/1965,0.007713908732196462
7/1/1965,0.009349756559718259
8/1/1965,0.004223152693173748
9/1/1965,0.00252473308836354
10/1/1965,0.010032578750663657
11/1/1965,0.0041499464507834816
12/1/1965,0.012350535924670059
1/1/1966,0.009774172832649253
2/1/1966,0.006461447413702803
3/1/1966,0.013595712034111695
4/1/1966,0.0015856785338894674
5/1/1966,0.009470381167507202
6/1/1966,0.0047032202996648564
7/1/1966,0.005458315455142859
8/1/1966,0.0007765084932893629
9/1/1966,0.009282808283705535
10/1/1966,0.006903151482771097
11/1/1966,-0.00690601035320304
12/1/1966,0.002307306730194192
1/1/1967,0.004706587369859072
2/1/1967,-0.011406180720147763
3/1/1967,-0.0056526202743110154
4/1/1967,0.009387149480215129
5/1/1967,-0.008763592878024529
6/1/1967,-0.0001241029594374332
7/1/1967,-0.002279883265865923
8/1/1967,0.01897832669202204
9/1/1967,-0.0016249403455570466
10/1/1967,0.008109706099668657
11/1/1967,0.014202469306054955
12/1/1967,0.010710847295240633
1/1/1968,-0.001076125666511274
2/1/1968,0.0035761887834078188
3/1/1968,0.0031176826206444908
4/1/1968,0.0014459539732123439
5/1/1968,0.011155394612138103
6/1/1968,0.003666760646485745
7/1/1968,-0.001535167755949196
8/1/1968,0.0027857982769994294
9/1/1968,0.003780022985185205
10/1/1968,0.001984886627725224
11/1/1968,0.012851463066867908
12/1/1968,0.0031530353318194315
1/1/1969,0.006030701344290623
2/1/1969,0.006379058365686863
3/1/1969,0.00781135720262327
4/1/1969,-0.003684614915465012
5/1/1969,-0.0037891202855404593
6/1/1969,0.009723779271815225
7/1/1969,0.005265458093261177
8/1/1969,0.0022944697527873537
9/1/1969,-0.00022461528346173765
10/1/1969,0.0002935212230537054
11/1/1969,-0.009471744251739356
12/1/1969,-0.0026880835096747546
1/1/1970,-0.018689988466876528
2/1/1970,-0.0006582013438509726
